,year,ave_temp,ave_temp_uncer,month,day
0,1768,5.572750000000001,3.7569999999999997,10.5,1.0
1,1769,10.4465,3.693375,6.5,1.0
2,1770,,,6.5,1.0
3,1771,,,6.5,1.0
4,1772,,,6.5,1.0
5,1773,,,6.5,1.0
6,1774,1.603,3.6326666666666667,6.5,1.0
7,1775,9.499166666666666,2.7550833333333333,6.5,1.0
8,1776,8.11,2.9620909090909096,6.5,1.0
9,1777,8.30475,2.670083333333333,6.5,1.0
10,1778,5.362000000000001,3.173666666666667,6.5,1.0
11,1779,-0.7136666666666663,3.6646666666666667,6.5,1.0
12,1780,,,6.5,1.0
13,1781,6.25325,3.0090000000000003,6.5,1.0
14,1782,7.60642857142857,3.1832857142857143,6.5,1.0
15,1783,,,6.5,1.0
16,1784,,,6.5,1.0
17,1785,,,6.5,1.0
18,1786,,,6.5,1.0
19,1787,,,6.5,1.0
20,1788,,,6.5,1.0
21,1789,,,6.5,1.0
22,1790,,,6.5,1.0
23,1791,,,6.5,1.0
24,1792,,,6.5,1.0
25,1793,,,6.5,1.0
26,1794,,,6.5,1.0
27,1795,,,6.5,1.0
28,1796,12.231000000000003,2.974285714285714,6.5,1.0
29,1797,6.356833333333333,3.0218333333333334,6.5,1.0
30,1798,,,6.5,1.0
31,1799,,,6.5,1.0
32,1800,,,6.5,1.0
33,1801,,,6.5,1.0
34,1802,,,6.5,1.0
35,1803,,,6.5,1.0
36,1804,,,6.5,1.0
37,1805,,,6.5,1.0
38,1806,,,6.5,1.0
39,1807,,,6.5,1.0
40,1808,,,6.5,1.0
41,1809,,,6.5,1.0
42,1810,,,6.5,1.0
43,1811,8.0434,3.0412,6.5,1.0
44,1812,7.012666666666665,2.673166666666667,6.5,1.0
45,1813,9.918888888888889,2.8855555555555554,6.5,1.0
46,1814,3.784333333333334,3.639,6.5,1.0
47,1815,7.501333333333335,2.6963333333333335,6.5,1.0
48,1816,4.396625,3.1088750000000003,6.5,1.0
49,1817,7.229916666666667,2.6125000000000003,6.5,1.0
50,1818,6.2747,2.8672,6.5,1.0
51,1819,-2.774666666666667,3.5429999999999997,6.5,1.0
52,1820,7.563833333333332,2.291083333333334,6.5,1.0
53,1821,8.004083333333334,2.53275,6.5,1.0
54,1822,8.386833333333334,2.2399166666666672,6.5,1.0
55,1823,7.9110000000000005,2.3275,6.5,1.0
56,1824,8.50225,2.5085,6.5,1.0
57,1825,8.966500000000002,2.3389166666666665,6.5,1.0
58,1826,8.578999999999999,2.3249166666666663,6.5,1.0
59,1827,9.102,2.4029166666666666,6.5,1.0
60,1828,8.8485,2.05525,6.5,1.0
61,1829,8.389249999999999,2.092416666666667,6.5,1.0
62,1830,9.215083333333334,2.4045833333333335,6.5,1.0
63,1831,7.720750000000002,2.81225,6.5,1.0
64,1832,8.247416666666668,2.1999999999999997,6.5,1.0
65,1833,8.811916666666667,1.7589166666666667,6.5,1.0
66,1834,8.829583333333334,1.9560833333333336,6.5,1.0
67,1835,7.53925,1.8380833333333333,6.5,1.0
68,1836,7.5639166666666675,1.9199166666666665,6.5,1.0
69,1837,7.984416666666667,1.9185,6.5,1.0
70,1838,7.548666666666666,2.2747500000000005,6.5,1.0
71,1839,8.522166666666665,1.7673333333333332,6.5,1.0
72,1840,8.251500000000002,1.6546666666666667,6.5,1.0
73,1841,8.14925,1.5540000000000003,6.5,1.0
74,1842,8.358333333333333,1.5910833333333334,6.5,1.0
75,1843,7.783666666666668,1.5405,6.5,1.0
76,1844,8.082833333333332,1.482833333333333,6.5,1.0
77,1845,8.408916666666666,1.6644166666666667,6.5,1.0
78,1846,9.136333333333333,2.0308333333333333,6.5,1.0
79,1847,7.907083333333333,2.0291666666666672,6.5,1.0
80,1848,8.016833333333333,1.7605000000000004,6.5,1.0
81,1849,8.129166666666666,1.4526666666666668,6.5,1.0
82,1850,8.248333333333333,1.4921666666666669,6.5,1.0
83,1851,8.6575,1.526,6.5,1.0
84,1852,8.183083333333334,1.3937499999999998,6.5,1.0
85,1853,8.459916666666667,1.2913333333333334,6.5,1.0
86,1854,8.821250000000001,1.4840833333333334,6.5,1.0
87,1855,8.459416666666668,1.5504166666666668,6.5,1.0
88,1856,7.94325,1.376083333333333,6.5,1.0
89,1857,8.140333333333333,1.1238333333333335,6.5,1.0
90,1858,8.412833333333332,1.3576666666666666,6.5,1.0
91,1859,8.016833333333334,1.2496666666666667,6.5,1.0
92,1860,8.580916666666667,1.16325,6.5,1.0
93,1861,8.6505,1.152583333333333,6.5,1.0
94,1862,8.213999999999999,1.2953333333333332,6.5,1.0
95,1863,8.446250000000001,1.301,6.5,1.0
96,1864,8.381083333333335,1.2926666666666666,6.5,1.0
97,1865,8.495666666666667,1.1275833333333336,6.5,1.0
98,1866,8.334333333333333,1.1190833333333332,6.5,1.0
99,1867,8.509000000000002,1.2898333333333334,6.5,1.0
100,1868,8.207416666666667,1.1190833333333334,6.5,1.0
101,1869,8.31125,1.0479999999999998,6.5,1.0
102,1870,8.829500000000001,1.0102499999999999,6.5,1.0
103,1871,8.706750000000001,0.9702499999999997,6.5,1.0
104,1872,8.000749999999998,1.1925833333333336,6.5,1.0
105,1873,8.063083333333331,0.9249999999999999,6.5,1.0
106,1874,8.768,0.7525000000000001,6.5,1.0
107,1875,7.849666666666668,0.7784166666666666,6.5,1.0
108,1876,8.099,0.9295833333333333,6.5,1.0
109,1877,8.696583333333335,1.0664166666666668,6.5,1.0
110,1878,9.017166666666666,0.9401666666666667,6.5,1.0
111,1879,8.683250000000001,0.9580000000000001,6.5,1.0
112,1880,8.110333333333333,1.0570833333333332,6.5,1.0
113,1881,8.643500000000001,0.8750833333333333,6.5,1.0
114,1882,8.369916666666667,0.6304166666666667,6.5,1.0
115,1883,7.942249999999999,0.6519166666666666,6.5,1.0
116,1884,7.957999999999998,0.6278333333333334,6.5,1.0
117,1885,8.158416666666666,0.5888333333333334,6.5,1.0
118,1886,8.181833333333334,0.6887500000000001,6.5,1.0
119,1887,8.143583333333332,0.7675,6.5,1.0
120,1888,8.172833333333335,0.7289166666666667,6.5,1.0
121,1889,8.798083333333333,0.6796666666666665,6.5,1.0
122,1890,8.559166666666666,0.7344166666666666,6.5,1.0
123,1891,8.31675,0.7915833333333332,6.5,1.0
124,1892,8.177999999999999,0.82075,6.5,1.0
125,1893,8.170999999999998,0.45399999999999996,6.5,1.0
126,1894,8.46675,0.509,6.5,1.0
127,1895,7.847333333333334,0.40258333333333335,6.5,1.0
128,1896,8.483583333333334,0.40375,6.5,1.0
129,1897,8.473166666666666,0.4572500000000001,6.5,1.0
130,1898,8.427916666666667,0.47633333333333333,6.5,1.0
131,1899,8.166833333333331,0.3981666666666667,6.5,1.0
132,1900,9.021583333333334,0.40058333333333324,6.5,1.0
133,1901,8.494916666666667,0.40316666666666673,6.5,1.0
134,1902,8.453999999999999,0.41050000000000003,6.5,1.0
135,1903,7.977249999999999,0.4190000000000001,6.5,1.0
136,1904,8.200666666666665,0.4386666666666667,6.5,1.0
137,1905,8.402333333333335,0.367,6.5,1.0
138,1906,8.560083333333333,0.3453333333333333,6.5,1.0
139,1907,8.394000000000002,0.3221666666666667,6.5,1.0
140,1908,8.755583333333334,0.34475000000000006,6.5,1.0
141,1909,8.221833333333334,0.2813333333333334,6.5,1.0
142,1910,8.757916666666667,0.2794999999999999,6.5,1.0
143,1911,8.737916666666665,0.3074166666666666,6.5,1.0
144,1912,8.140916666666667,0.3335833333333334,6.5,1.0
145,1913,8.552166666666666,0.3090833333333333,6.5,1.0
146,1914,8.876499999999998,0.34833333333333333,6.5,1.0
147,1915,8.648249999999999,0.33908333333333335,6.5,1.0
148,1916,8.180083333333334,0.27091666666666664,6.5,1.0
149,1917,7.669499999999999,0.341,6.5,1.0
150,1918,8.50125,0.2535833333333334,6.5,1.0
151,1919,8.537999999999998,0.29066666666666663,6.5,1.0
152,1920,8.184499999999998,0.326,6.5,1.0
153,1921,9.595666666666668,0.2793333333333333,6.5,1.0
154,1922,8.768166666666668,0.2504166666666667,6.5,1.0
155,1923,8.760333333333334,0.22550000000000003,6.5,1.0
156,1924,8.052333333333332,0.23358333333333337,6.5,1.0
157,1925,9.016416666666666,0.27899999999999997,6.5,1.0
158,1926,9.14025,0.24941666666666662,6.5,1.0
159,1927,8.719333333333333,0.20341666666666666,6.5,1.0
160,1928,8.876,0.23558333333333337,6.5,1.0
161,1929,8.4395,0.20308333333333337,6.5,1.0
162,1930,8.737666666666666,0.18241666666666667,6.5,1.0
163,1931,9.560750000000002,0.19725,6.5,1.0
164,1932,8.5395,0.22866666666666666,6.5,1.0
165,1933,9.030583333333334,0.20675000000000002,6.5,1.0
166,1934,9.826583333333334,0.19058333333333333,6.5,1.0
167,1935,8.742500000000001,0.1970833333333334,6.5,1.0
168,1936,8.92225,0.19025000000000003,6.5,1.0
169,1937,8.730749999999999,0.18441666666666667,6.5,1.0
170,1938,9.471833333333334,0.15708333333333335,6.5,1.0
171,1939,9.3075,0.18666666666666668,6.5,1.0
172,1940,9.097166666666668,0.16191666666666668,6.5,1.0
173,1941,9.266083333333333,0.17516666666666666,6.5,1.0
174,1942,8.919333333333332,0.1636666666666667,6.5,1.0
175,1943,9.0035,0.15924999999999997,6.5,1.0
176,1944,8.898166666666667,0.16583333333333336,6.5,1.0
177,1945,8.671249999999999,0.14683333333333334,6.5,1.0
178,1946,9.179583333333332,0.14908333333333332,6.5,1.0
179,1947,8.836083333333333,0.14733333333333334,6.5,1.0
180,1948,8.481666666666667,0.1401666666666667,6.5,1.0
181,1949,8.888083333333332,0.14041666666666666,6.5,1.0
182,1950,8.656416666666667,0.14958333333333332,6.5,1.0
183,1951,8.416583333333334,0.22258333333333336,6.5,1.0
184,1952,8.979416666666667,0.11508333333333333,6.5,1.0
185,1953,9.530416666666666,0.12241666666666669,6.5,1.0
186,1954,9.410583333333333,0.16225,6.5,1.0
187,1955,8.517166666666666,0.15025000000000002,6.5,1.0
188,1956,8.699916666666665,0.1865,6.5,1.0
189,1957,9.126333333333333,0.34625,6.5,1.0
190,1958,8.97016666666667,0.23258333333333336,6.5,1.0
191,1959,8.825333333333333,0.20908333333333332,6.5,1.0
192,1960,8.69225,0.18025,6.5,1.0
193,1961,8.642,0.18725000000000006,6.5,1.0
194,1962,8.9565,0.23825,6.5,1.0
195,1963,9.079999999999998,0.1859166666666667,6.5,1.0
196,1964,8.491666666666667,0.17241666666666666,6.5,1.0
197,1965,8.647666666666668,0.22675,6.5,1.0
198,1966,8.483,0.19025,6.5,1.0
199,1967,8.902000000000001,0.1951666666666667,6.5,1.0
200,1968,8.553249999999998,0.1865,6.5,1.0
201,1969,8.770833333333332,0.17258333333333334,6.5,1.0
202,1970,8.673,0.17758333333333334,6.5,1.0
203,1971,8.442499999999999,0.16825,6.5,1.0
204,1972,8.428083333333335,0.18383333333333338,6.5,1.0
205,1973,8.934666666666667,0.20191666666666666,6.5,1.0
206,1974,8.815916666666666,0.18575,6.5,1.0
207,1975,8.431,0.20599999999999996,6.5,1.0
208,1976,8.65125,0.20558333333333334,6.5,1.0
209,1977,9.269833333333334,0.16441666666666668,6.5,1.0
210,1978,8.751416666666666,0.20433333333333334,6.5,1.0
211,1979,8.571583333333331,0.17975000000000005,6.5,1.0
212,1980,9.135499999999999,0.1449166666666667,6.5,1.0
213,1981,9.7215,0.1765,6.5,1.0
214,1982,8.539500000000002,0.1535,6.5,1.0
215,1983,8.912333333333333,0.18241666666666667,6.5,1.0
216,1984,8.811166666666667,0.16341666666666668,6.5,1.0
217,1985,8.587000000000002,0.19808333333333336,6.5,1.0
218,1986,9.559500000000002,0.19325,6.5,1.0
219,1987,9.628166666666665,0.15233333333333335,6.5,1.0
220,1988,9.275333333333334,0.15225000000000002,6.5,1.0
221,1989,8.873083333333334,0.18491666666666665,6.5,1.0
222,1990,9.521583333333334,0.18616666666666667,6.5,1.0
223,1991,9.493666666666666,0.14291666666666666,6.5,1.0
224,1992,9.056333333333333,0.20300000000000004,6.5,1.0
225,1993,8.867250000000002,0.16583333333333333,6.5,1.0
226,1994,9.270333333333335,0.1658333333333333,6.5,1.0
227,1995,9.331000000000001,0.14816666666666667,6.5,1.0
228,1996,8.754333333333333,0.13975,6.5,1.0
229,1997,9.172916666666667,0.1675,6.5,1.0
230,1998,10.141166666666667,0.12791666666666668,6.5,1.0
231,1999,9.567,0.14550000000000005,6.5,1.0
